DATE;HOUR;GR;PAR;T;RH;DATETIME;;;;;;
09/09/2002;2;0;0;17.6;71;09/09/2002 02:00;;;;;;
09/09/2002;3;0;0;17.3;76;09/09/2002 03:00;;;;;;
09/09/2002;4;0;0;17.4;73;09/09/2002 04:00;;;;;;
09/09/2002;5;0;0;17.3;67;09/09/2002 05:00;;;;;;
09/09/2002;6;8;51.12;17.8;69;09/09/2002 06:00;;;;;;
09/09/2002;7;80;511.2;22.5;61;09/09/2002 07:00;;;;;;
09/09/2002;8;166;1060.74;23.9;60;09/09/2002 08:00;;;;;;
09/09/2002;9;244;1559.16;24.7;63;09/09/2002 09:00;;;;;;
09/09/2002;10;282;1801.98;25.8;63;09/09/2002 10:00;;;;;;
09/09/2002;11;302;1929.78;25;60;09/09/2002 11:00;;;;;;
09/09/2002;12;260;1661.4;24.1;61;09/09/2002 12:00;;;;;;
09/09/2002;13;190;1214.1;24.3;62;09/09/2002 13:00;;;;;;
09/09/2002;14;198;1265.22;26.3;56;09/09/2002 14:00;;;;;;
09/09/2002;15;134;856.26;24.2;71;09/09/2002 15:00;;;;;;
09/09/2002;16;110;702.9;23.3;68;09/09/2002 16:00;;;;;;
09/09/2002;17;32;204.48;22.7;67;09/09/2002 17:00;;;;;;
09/09/2002;18;0;0;21.4;76;09/09/2002 18:00;;;;;;
09/09/2002;19;0;0;20.9;78;09/09/2002 19:00;;;;;;
09/09/2002;20;0;0;18.8;74;09/09/2002 20:00;;;;;;
09/09/2002;21;0;0;19.8;81;09/09/2002 21:00;;;;;;
09/09/2002;22;0;0;19.5;72;09/09/2002 22:00;;;;;;
09/09/2002;23;0;0;19.4;66;09/09/2002 23:00;;;;;;
09/09/2002;24;0;0;18.3;71;10/09/2002 00:00;;;;;;
10/09/2002;1;0;0;17.1;72;10/09/2002 01:00;;;;;;
10/09/2002;2;0;0;16.6;74;10/09/2002 02:00;;;;;;
10/09/2002;3;0;0;16.2;78;10/09/2002 03:00;;;;;;
10/09/2002;4;0;0;16.8;74;10/09/2002 04:00;;;;;;
10/09/2002;5;0;0;16.9;83;10/09/2002 05:00;;;;;;
10/09/2002;6;10;63.9;18.1;81;10/09/2002 06:00;;;;;;
10/09/2002;7;80;511.2;22.6;66;10/09/2002 07:00;;;;;;
10/09/2002;8;168;1073.52;24.2;60;10/09/2002 08:00;;;;;;
10/09/2002;9;246;1571.94;25.1;56;10/09/2002 09:00;;;;;;
10/09/2002;10;296;1891.44;26.2;53;10/09/2002 10:00;;;;;;
10/09/2002;11;348;2223.72;25.9;54;10/09/2002 11:00;;;;;;
10/09/2002;12;260;1661.4;24.7;58;10/09/2002 12:00;;;;;;
10/09/2002;13;180;1150.2;24.2;61;10/09/2002 13:00;;;;;;
10/09/2002;14;162;1035.18;24.2;62;10/09/2002 14:00;;;;;;
10/09/2002;15;144;920.16;23.8;67;10/09/2002 15:00;;;;;;
10/09/2002;16;110;702.9;23.8;69;10/09/2002 16:00;;;;;;
10/09/2002;17;16;102.24;22;74;10/09/2002 17:00;;;;;;
10/09/2002;18;0;0;19.9;79;10/09/2002 18:00;;;;;;
10/09/2002;19;0;0;18.5;88;10/09/2002 19:00;;;;;;
10/09/2002;20;0;0;18;89;10/09/2002 20:00;;;;;;
10/09/2002;21;0;0;18.2;80;10/09/2002 21:00;;;;;;
10/09/2002;22;0;0;17.7;78;10/09/2002 22:00;;;;;;
